Generation,BestFitness
0,10.458128274166222
1,2.2072732966047184
2,2.2072732966047184
3,2.2072732966047184
4,2.2072732966047184
5,2.2072732966047184
6,2.2072732966047184
7,2.2072732966047184
8,2.2072732966047184
9,0.026714294881081457
10,0.026714294881081457
11,0.026714294881081457
12,0.026714294881081457
13,0.026714294881081457
14,0.026714294881081457
15,0.026714294881081457
16,0.026714294881081457
17,0.026714294881081457
18,0.026714294881081457
19,0.026714294881081457
20,0.026714294881081457
21,0.026714294881081457
22,0.026714294881081457
23,0.026714294881081457
24,0.026714294881081457
25,0.026714294881081457
26,0.026714294881081457
27,0.026714294881081457
28,0.026714294881081457
29,0.026714294881081457
30,0.026714294881081457
31,0.026714294881081457
32,0.026714294881081457
33,0.026714294881081457
34,0.026714294881081457
35,0.026714294881081457
36,0.026714294881081457
37,0.026714294881081457
38,0.026714294881081457
39,0.026714294881081457
40,0.026714294881081457
41,0.026714294881081457
42,0.026714294881081457
43,0.026714294881081457
44,0.026714294881081457
45,0.026714294881081457
46,0.026714294881081457
47,0.026714294881081457
48,0.026714294881081457
49,0.026714294881081457
50,0.026714294881081457
51,0.009566746176503216
52,0.009566746176503216
53,0.0027633772461364003
54,0.0027633772461364003
55,0.0027633772461364003
56,0.0027633772461364003
57,0.0027633772461364003
58,0.0027633772461364003
59,0.0027633772461364003
60,0.0027633772461364003
61,0.0027633772461364003
62,0.0027633772461364003
63,0.0027633772461364003
64,0.0007126536298258657
65,0.0007126536298258657
66,0.0007126536298258657
67,0.0007126536298258657
68,0.0002843806870487242
69,0.0002843806870487242
70,0.0002843806870487242
71,4.745542415562909e-05
72,5.005162645232986e-06
73,5.005162645232986e-06
74,5.005162645232986e-06
75,5.005162645232986e-06
76,5.005162645232986e-06
77,5.005162645232986e-06
78,5.005162645232986e-06
79,3.2401571061768664e-06
80,3.0013175127407976e-06
81,2.990398790814197e-07
82,2.990398790814197e-07
83,2.990398790814197e-07
84,2.990398790814197e-07
85,2.990398790814197e-07
86,2.990398790814197e-07
87,2.990398790814197e-07
88,7.291033554679416e-08
89,5.8569252558982043e-08
90,5.8569252558982043e-08
91,5.8569252558982043e-08
92,5.8569252558982043e-08
93,5.8569252558982043e-08
94,5.0808893092835206e-08
95,2.1384281012615247e-09
96,2.1384281012615247e-09
97,2.1384281012615247e-09
98,2.1384281012615247e-09
99,2.1384281012615247e-09
